house_area,house_fitmend,house_located,house_name,house_room,house_towards,total_price,unit_price
84,简装,西红门,兴海家园星苑 ,2室1厅,南 北,395,46957
37,简装,新街口,文慧园10号院 ,1室1厅,南,339,89921
99,简装,天通苑,天通苑北一区 ,2室1厅,西北,390,39287
81,精装,马甸,双旗杆东里 ,3室1厅,南 北,930,114815
77,精装,赵公口,彩虹城五区 ,2室1厅,西南 北,466,59890
114,精装,西北旺,百旺茉莉园 ,2室2厅,南 北,870,76069
47,简装,清河,莱圳家园 ,1室1厅,北,360,76127
83,简装,国展,柳芳北里 ,3室1厅,南 北,630,75341
89,精装,北七家,望都新地 ,2室2厅,南 北,385,42917
117,简装,八角,融景城 ,3室1厅,南 北,725,61882
86,简装,太阳宫,新纪家园 ,2室1厅,南 北,650,75424
118,简装,回龙观,北京人家 ,3室2厅,南 北,536,45187
92,简装,岳各庄,丰体时代花园 ,2室1厅,东,435,47242
142,精装,万柳,光大花园 ,3室2厅,南 东北,1558,109043
74,精装,西直门,西直门北大街43号院 ,3室1厅,东 南 北,650,87484
89,简装,花乡,天伦锦城 ,2室1厅,南 北,403,45226
87,精装,杨庄,杨庄北区 ,2室1厅,南 北,437,49790
93,精装,回龙观,和谐家园一区 ,2室1厅,南 北,450,48227
77,简装,军博,莲花池东路9号院 ,2室1厅,西南,622,79898
93,其他,天宁寺,天宁寺前街南里 ,3室1厅,南 北,860,91548
84,其他,管庄,建东苑 ,2室1厅,南 北,360,42665
72,简装,潘家园,弘善家园 ,2室1厅,东南,330,45581
131,精装,鼓楼大街,新新公寓 ,3室2厅,西南 北,520,39523
91,简装,鲁谷,重聚园 ,2室1厅,南 北,485,53169
70,精装,紫竹桥,北洼西里 ,2室1厅,南,588,83192
90,精装,马连道,常青藤嘉园 ,2室1厅,南 北,864,94977
93,精装,临河里,瑞都公园世家南区 ,2室1厅,南 北,530,56432
63,精装,回龙观,领秀慧谷A区 ,1室1厅,南,305,48062
103,精装,成寿寺,中海城北区 ,3室1厅,南,650,62555
64,简装,滨河西区,葡东小区 ,2室1厅,南 北,238,37182
65,精装,知春路,蓟门东里 ,2室1厅,西南,530,81040
108,毛坯,望京,南湖东园一区 ,2室2厅,南 北,730,67263
112,精装,望京,朝庭公寓 ,2室2厅,东,810,72303
76,简装,清河,观澳园 ,1室1厅,南 北,547,71880
77,简装,豆各庄,朝丰家园 ,2室1厅,南 北,330,42363
109,精装,百子湾,美利山 ,3室2厅,东 南,710,65049
149,精装,朝青,珠江罗马嘉园西区 ,3室2厅,南 北,1050,70381
106,精装,西单,前门西大街 ,3室1厅,东 西南,1166,109793
87,简装,东关,水关新村 ,3室1厅,南 北,305,34918
87,简装,朝青,国美第一城3号院 ,2室2厅,西南,560,63746
209,精装,回龙观,龙跃苑一区 ,5室2厅,南 北,650,31024
80,精装,枣园,彩虹新城 ,2室1厅,南 北,430,53126
136,精装,天通苑,天通苑本四区 ,3室1厅,南 北,490,36014
148,简装,西二旗,领秀新硅谷2号院 ,4室2厅,南 北,1350,91044
142,精装,天通苑,天通苑北二区 ,3室2厅,南 北,550,38665
82,精装,西山,西山美墅馆A区 ,2室1厅,南 北,790,95805
76,精装,望京,北纬40度一期 ,1室2厅,东,580,76166
145,简装,亦庄,春华屋 ,3室1厅,东 西,600,41110
125,简装,回龙观,龙锦苑二区 ,3室1厅,南 北,580,46312
93,精装,清河,强佑清河新城 ,2室1厅,西,598,63651
89,简装,武夷花园,光讯花园 ,2室1厅,南 北,408,45379
73,精装,安贞,安贞西里 ,3室1厅,南 北,560,76056
101,精装,良乡,佳世苑小区 ,2室1厅,西南,308,30384
259,精装,万柳,涧桥泊屋 ,4室2厅,南 北,3000,115536
114,精装,回龙观,流星花园三区 ,3室1厅,南 北,578,50415
56,精装,顺义其它,馨港庄园二区 ,1室1厅,南,215,37893
69,精装,新街口,新街口西里三区 ,2室1厅,西北,670,95962
98,精装,旧宫,美然绿色家园 ,2室1厅,南 西北,400,40667
94,精装,马甸,新康街甲一号 ,3室2厅,南 北,1270,135093
155,精装,酒仙桥,海润国际 ,3室1厅,东南,1200,77106
89,精装,门头沟其它,梧桐苑知秋园 ,3室1厅,南 北,450,50308
127,精装,朝阳公园,观湖国际 ,2室2厅,东 西,1080,84859
58,精装,公主坟,翠微北里 ,2室1厅,南 北,488,83849
71,精装,马家堡,星河城东区 ,1室1厅,西,481,66890
63,简装,黄村中,兴政西里 ,2室1厅,南 北,263,41152
52,简装,北大地,北大街南里 ,2室1厅,南 北,305,58654
68,精装,大望路,后现代城 ,1室1厅,东,480,70145
57,精装,马甸,马甸南村 ,2室1厅,南 北,785,137720
69,精装,白石桥,大慧寺21号院 ,2室1厅,南,630,91173
71,精装,惠新西街,胜古南里 ,2室1厅,南 北,520,72293
58,精装,朝阳门外,新中西街 ,2室1厅,南 北,526,89854
74,简装,北七家,名佳花园一区 ,2室1厅,南 北,318,42406
93,精装,双井,九龙花园 ,2室1厅,西南,575,61282
62,简装,东关,东关南里小区 ,2室1厅,东,238,38369
50,精装,木樨园,定安西里 ,2室1厅,东,300,59289
113,简装,天通苑,天通苑北一区 ,3室1厅,西南,419,36901
126,精装,大望路,珠江帝景 ,2室2厅,东南,1070,84881
95,其他,东花市,东花市北里中区 ,2室2厅,南 北,878,92315
89,精装,回龙观,首开智慧社 ,2室1厅,南 北,510,57073
107,简装,北关,天赐良园二期 ,2室1厅,南 北,440,40973
110,简装,鲁谷,远洋沁山水 ,2室2厅,南,880,79308
141,精装,亦庄,和成璟园 ,3室2厅,南 北,780,55015
71,简装,后沙峪,双裕小区 ,2室1厅,南 北,310,43062
169,简装,蒲黄榆,恒松园 ,3室1厅,南 西南,720,42564
